Sigle,Autor,Titel,Sammlung,Referenz,Jahr,Jahr_Schlawe,Jahr_Frank,Jahr_Metricalizer,Zeitraum_Frank,Zeitraum,Frank,Schlawe,Strophenformen,Metricalizer,Freiburger Anthologie,Zeno,Besonderheiten,falsche Zuordnungen
Anon - Eine alte Burg mit Mauern steht,Anon,Eine alte Burg mit Mauern steht,,,,,um 1800,,1770-1830,,6.14,,,,,,,
Anon - Eine grausame Stiefmutter oder,Anon,Eine grausame Stiefmutter oder Gott ist gerecht,,,,,,,,,4.34,,,,,,,
Anon - Einmal in einem tiefen Tal,Anon,Einmal in einem tiefen Tal,Wunderhorn (1805/08),DKW Wettstreit des Kukuks mit der Nachtigal,,,,,-1600,,6.19,,,,,http://www.zeno.org/nid/20004466462,,
Anon - Einmal tät ich (Ich ging einmal) spazieren / Sonderbar allein,Anon,Einmal tät ich (Ich ging einmal) spazieren / Sonderbar allein,,EB 1446,,,um 1550,,-1600,,8.6,,,,,,,
"Anon - Einstens, da ich Lust bekam, / Mir zu freien eine Dam (Des guten Kerls Freierei)",Anon,"Einstens, da ich Lust bekam, / Mir zu freien eine Dam (Des guten Kerls Freierei)",Wunderhorn (1805/08),DKW Des guten Kerls Freierei,,,,,-1600,,6.17,,,,,http://www.zeno.org/nid/20004469208,,
Anon - Entlaubet ist der Walde / Gen diesem Winter kalt,Anon,Entlaubet ist der Walde / Gen diesem Winter kalt,,EB 744,,,,,-1600,,8.7,,,,,,,
Anon - Er kam wie Mars in einer Wolke,Anon,Er kam wie Mars in einer Wolke,,HA 232,,,1807,,1770-1830,,6.40,,,,,,,
Anon - Er mochte es nicht länger,Anon,Er mochte es nicht länger,,,,,,,,,4.67,,,,,,,
Anon - Errungen ist der erste Sieg,Anon,Errungen ist der erste Sieg,,,,,1870,,1830-1900,,6.33,,,,,,,
Anon - Erstanden ist der heilig Christ,Anon,Erstanden ist der heilig Christ,,WA V 1442,,,,,-1600,,2.5,,,,,,,
"Anon - Erwählter Gottes, Märtyr und auch würdig (Georgshymnus)",Anon,"Erwählter Gottes, Märtyr und auch würdig (Georgshymnus)",,WA II 1369,,,1524,,-1600,,3.8,,,,,,,
Anon - Es blies ein Jäger wohl in sein Horn,Anon,Es blies ein Jäger wohl in sein Horn,,EB 19c,,,,,-1600,,2.5,,,,,,,
Anon - Es flohen drei Sterne wohl über den Rhein,Anon,Es flohen drei Sterne wohl über den Rhein,Wunderhorn (1805/08),DKW Zucht bringt Frucht,,,,,,,6.33,,,,,http://www.zeno.org/nid/20004467221,,
Anon - Es fuhr ein Mägdlein übern See,Anon,Es fuhr ein Mägdlein übern See,Wunderhorn (1805/08),DKW Es fuhr ein Mägdlein übern See,,,,,,,4.39,,,,,http://www.zeno.org/nid/20004464141,,
Anon - Es geht ein frischer Sommer,Anon,Es geht ein frischer Sommer daher,,s. EB 269,,,,,-1600,,5.6,,,,,,,
Anon - Es giengen trew frewlach also fru,Anon,Es giengen trew frewlach also fru,,WA II 517,,,,,,,4.39,,,,,,,
Anon - Es ging ein Mägdlein über den,Anon,Es ging ein Mägdlein über den Steg,,EB 134,,,17. Jh.,,1600-1700,,5.6,,,,,,,
Anon - Es ging ein Mägdlein zarte / Früh in der Morgenstund,Anon,Es ging ein Mägdlein zarte / Früh in der Morgenstund,Wunderhorn (1805/08),DKW Der Tod und das Mädchen im Blumengarten,,,um 1500,,-1600,,7.3,,,,,http://www.zeno.org/nid/20004464044,,
Anon - Es ging ein Müller übers Feld,Anon,Es ging ein Müller übers Feld,,EB 58a,,,,,,,3.2,,,,,http://www.zeno.org/nid/20004465067,,
Anon - Es gingen drei Gespielen aus,Anon,Es gingen drei Gespielen aus,,WA V 1020,,,,,,,4.39,,,,,,,
Anon - Es hat e Buur es Töchterli,Anon,Es hat e Buur es Töchterli,,,,,,,,,4.58,,,,,,,
Anon - Es ist ein kindelin geborn,Anon,Es ist ein kindelin geborn,,WA II 902,,,,,,,4.28,,,,,,,
Anon - Es ist ein Ros entsprungen,Anon,Es ist ein Ros entsprungen,,"WA II 1153,FT I 256",,,vorreformatorisch,,-1600,,7.1,,,,,,,
Anon - Es ist ein Schnee gefallen,Anon,Es ist ein Schnee gefallen,,EB 424a,,,,,,,4.20,,,,,,,
Anon - Es ist nichts Lustgers auf der Welt,Anon,Es ist nichts Lustgers auf der Welt,,EB 1346,,,,,1770-1830,,8.14,,,,,,,
"Anon - Es ist nit lang, daß es geschach (Lied vom Räuber Lindenschmidt)",Anon,"Es ist nit lang, daß es geschach (Lied vom Räuber Lindenschmidt)",Wunderhorn (1805/08),"EB 247,LI 178",,,15. Jh.,,-1600,,5.6,,,,,http://www.zeno.org/nid/20004464583,,
Anon - Es kummt noch wohl ein gute Zeit,Anon,Es kummt noch wohl ein gute Zeit,,"EB 255,LI 241",,,1504,,-1600,,5.6,,,,,,,
Anon - Es leuchten drei Sterne am,Anon,Es leuchten drei Sterne am,,EB 48a,,,,,,,4.21,,,,,,,
Anon - Es liegt ein Schloß in Österreich / Das ist so wohl erbauet,Anon,Es liegt ein Schloß in Österreich / Das ist so wohl erbauet,,EB 61a,,,,,,,4.36,,,,,http://www.zeno.org/nid/20004465075,,
Anon - Es ritt der Herr von Falkenstein / Wohl über ein breite Heide,Anon,Es ritt der Herr von Falkenstein / Wohl über ein breite Heide,Wunderhorn (1805/08),EB 62d,,,,,,,4.36,,,,,http://www.zeno.org/nid/2000446530X,,
Anon - Es ritt einst Ulrich,Anon,Es ritt einst Ulrich,,,,,,,,,4.58,,,,,,,
Anon - Es ritten drei Reiter wohl über den Rhein,Anon,Es ritten drei Reiter wohl über den Rhein,,EB 57a,,,,,,,2.6,,,,,,,Frank: ursprgl. EB 1357a (statt EB 57a)
Anon - Es stand ein Lind im tiefen,Anon,Es stand ein Lind im tiefen,,,,,,,-1600,,2.5,,,,,,,
Anon - Es steht ein Lind in jenem Tal,Anon,Es steht ein Lind in jenem Tal,,EB 67a,,,,,,,4.58,,,,,,,
Anon - Es steht ein Wirtshaus an der Lahn,Anon,Es steht ein Wirtshaus an der Lahn,,EB 858,,,19. Jh.,,1830-1900,,5.6,,,,,,,
Anon - Es war ein Markgraf an [über] dem Rhein,Anon,Es war ein Markgraf an [über] dem Rhein,Wunderhorn (1805/08),DKW Liebesdienst,,,,,-1600,,"2.5,6.33",,,,,http://www.zeno.org/nid/20004464362,,
Anon - Es war eine reiche Jüdin,Anon,Es war eine reiche Jüdin,Wunderhorn (1805/08),DKW Die Judentochter,,,um 1800,,1770-1830,,5.2,,,,,http://www.zeno.org/nid/2000446527X,,
Anon - Es war einmal ein braver Husar,Anon,Es war einmal ein braver Husar,,,,,,,,,4.58,,,,,,,
Anon - Es war einmal ein junger Knab,Anon,Es war einmal ein junger Knab,Wunderhorn (1805/08),DKW Die gute Sieben,,,,,,,4.58,,,,,http://www.zeno.org/nid/20004468783,,
Anon - Es war einmal ein schnöder Mann,Anon,Es war einmal ein schnöder Mann,Ambraser Liederbuch (1582),EB 905,,,,,-1600,,6.19,,,,,http://www.zeno.org/nid/20004437306,,
Anon - Es waren drei Soldaten,Anon,Es waren drei Soldaten,Wunderhorn (1805/08),DKW Das Lied vom Ringe,,,,,,,5.2,,,,,http://www.zeno.org/nid/20004464184,,
Anon - Es waren drei Soldatensöhn,Anon,Es waren drei Soldatensöhn,Wunderhorn (1805/08),DKW Die Mordwirthin,,,,,1770-1830,,6.19,,,,,http://www.zeno.org/nid/20004467108,,
Anon - Es waren zwei Königskinder,Anon,Es waren zwei Königskinder,,,,,,,,,4.21,,,,,,,
Anon - Es warn einmal zwei Bauernsöhn,Anon,Es warn einmal zwei Bauernsöhn,,EB 50a,,,,,,,3.2,,,,,,,
Anon - Es wirbt ein junger Grafensohn / Ums König seine Tochter,Anon,Es wirbt ein junger Grafensohn / Ums König seine Tochter,,EB 140b,,,,,,,4.36,,,,,,,
"Anon - Es wohnet Lieb bei Liebe, / Darzu groß Herzeleid",Anon,"Es wohnet Lieb bei Liebe, / Darzu groß Herzeleid",Wunderhorn (1805/08),EB 86,,,15. Jh.,,-1600,,7.3,,,,,http://www.zeno.org/nid/20004467450,,
Anon - Es wohnt ein Pfalzgraf an dem,Anon,Es wohnt ein Pfalzgraf an dem,,,,,,,,,4.58,,,,,,,
Anon - Es wollt ein Jäger jagen,Anon,Es wollt ein Jäger jagen,Wunderhorn (1805/08),EB 1437,,,,,,,4.20,,,,,http://www.zeno.org/nid/20004464621,,
Anon - Es wollt ein Sünder reisen,Anon,Es wollt ein Sünder reisen,,EB 18d,,,,,,,4.20,,,,,,,
Anon - Es wollt[e] ein Mägdlein früh aufstehn,Anon,Es wollt[e] ein Mägdlein früh aufstehn,Wunderhorn (1805/08),DKW Die schweren Brombeeren,,,,,-1600,,"2.5,4.58",,,,,http://www.zeno.org/nid/20004467183,,
Anon - Es zog ein Wandersmann so,Anon,Es zog ein Wandersmann so,,,,,,,,,4.99,,,,,,,
Anon - Et wassen twe Künigeskinner,Anon,Et wassen twe Künigeskinner,,EB 84a,,,,,,,4.21,,,,,,,
Anon - Fern in Deutschlands Kolonien,Anon,Fern in Deutschlands Kolonien,,,,,,,,,4.49,,,,,,,
Anon - Folgen der rasenden Liebe (Hört mich mit gerührtem Herzen),Anon,Folgen der rasenden Liebe (Hört mich mit gerührtem Herzen),,,,,19. Jh.,,1770-1830,,8.26,,,,,,,
"Anon - Freu dich, du Himmelskönigin",Anon,"Freu dich, du Himmelskönigin",,"WA II 1120,WA V 1528",,,,,-1600,,2.5,,,,,,,
"Anon - Freut euch, ihr Christen alle",Anon,"Freut euch, ihr Christen alle",,WA V 1472,,,um 1600,,,,2.2,,,,,,,
Anon - Frevler im Gotteshaus (Als der Herr den Mensch erschaffen),Anon,Frevler im Gotteshaus (Als der Herr den Mensch erschaffen),,,,,19. Jh.,,1770-1830,,8.26,,,,,,,
"Anon - Frisch auf in Gottes Namen, / Du werte deutsche Nation",Anon,"Frisch auf in Gottes Namen, / Du werte deutsche Nation",,EB 290,,,16. Jh.,,-1600,,9.1,,,,,,,
Anon - Frisch frolich wille wi singen,Anon,Frisch frolich wille wi singen,,LI 161,,,15./16. Jh.,,-1600,,5.2,,,,,,,
"Anon - Frohen Muts, bei günstgem Winde",Anon,"Frohen Muts, bei günstgem Winde",,,,,,,1830-1900,,8.27,,,,,,,
Anon - Frolich so wil ich singen / Ich hoff mir soll gelingen,Anon,Frolich so wil ich singen / Ich hoff mir soll gelingen,"""BSB München, Cod. germ. 808""","""BSB München, Cod. germ. 808""",,,1505,,-1600,,6.9,,,,,,,
Anon - Fürsich dich auf den jüngsten Tag,Anon,Fürsich dich auf den jüngsten Tag,,WA II 1066,,,1525,,-1600,,10.2,,,,,,,
"Anon - Fürwitz, der Kramer hat viel War",Anon,"Fürwitz, der Kramer hat viel War",Bergkreien (1536),EB 1156,,,16. Jh.,,-1600,,8.15,,,,,,,
Anon - Gar hoch auf jenem Berg allein,Anon,Gar hoch auf jenem Berg allein,Wunderhorn (1805/08),DKW Gar hoch auf jenem Berg allein,,,,,,,4.39,,,,,http://www.zeno.org/nid/20004464273,,
"Anon - Gegrüezet sistu, kunigin / der himel und der erden",Anon,"Gegrüezet sistu, kunigin / der himel und der erden",,WA II 485,,,14. Jh.,,-1600,,8.15,,,,,,,
Anon - Gegrüsset siest du ane we / der dryer hande sere,Anon,Gegrüsset siest du ane we / der dryer hande sere,,WA II 443,,,14. Jh.,,-1600,,8.15,,,,,,,
Anon - Gelassen hat eyn sustergen,Anon,Gelassen hat eyn sustergen,Preuß. Staatsbibl. Ms. germ. 8° 280,Preuß. Staatsbibl. Ms. germ. 8° 280,,,15. Jh.,,-1600,,6.33,,,,,,,
"Anon - Gloria, Lob und große Ehr sei dir",Anon,"Gloria, Lob und große Ehr sei dir",,WA II 1363,,,,,,,2.15,,,,,,,
Anon - Got vater in der ewigkeit / Gelobt sigist in der gotheit,Anon,Got vater in der ewigkeit / Gelobt sigist in der gotheit,,LI 144,,,15. Jh.,,-1600,,14.1,,,,,,,
"Anon - Gott Vater, Sohn und heilger Geist",Anon,"Gott Vater, Sohn und heilger Geist",,WA III 1155,,,Reformationszeit,,-1600,,9.1,,,,,,,
"Anon - Graf Berthold von Sulchen, der fromme Mann",Anon,"Graf Berthold von Sulchen, der fromme Mann",Wunderhorn (1805/08),DKW St. Meinrad,,,19. Jh.,,1770-1830,,4.63,,,,,http://www.zeno.org/nid/20004469682,,
Anon - Granaten und du Flinte hier,Anon,Granaten und du Flinte hier,,HA 199,,,,,1770-1830,,8.14,,,,,,,
Anon - Groß Freud zwingt mich zu singen,Anon,Groß Freud zwingt mich zu singen,,WA III 935,,,16. Jh.,,-1600,,9.1,,,,,,,
Anon - Groß gnad ist uff gestanden,Anon,Groß gnad ist uff gestanden,,WA II 1061,,,15. Jh.,,-1600,,8.7,,,,,,,
"Anon - Guckkastenlied (Seht, das ist der große Hecker)",Anon,"Guckkastenlied (Seht, das ist der große Hecker)",,,,,,,1830-1900,,8.27,,,,,,,
Anon - Gut Ritter der reit durch das Ried,Anon,Gut Ritter der reit durch das Ried,,"EB 41a,EB 41g,EB 42a",,,,,,,4.39,,,,,,,
"Anon - Guten Tag, Herr Gärtner",Anon,"Guten Tag, Herr Gärtner",,,,,,,,,4.31,,,,,,,
Anon - Heiliger Herr Sankt Lorentz,Anon,Heiliger Herr Sankt Lorentz,,WA II 1237,,,,,,,4.20,,,,,,,
Anon - Herr Bolle lenkt zu Pfingsten,Anon,Herr Bolle lenkt zu Pfingsten,,,,,19. Jh.,,1830-1900,,8.7,,,,,,,
"Anon - Herr Schulmeister, noch eins, mir nit davon eil",Anon,"Herr Schulmeister, noch eins, mir nit davon eil",,HA 147,,,1716,,1700-1770,,4.62,,,,,,,
Anon - Herzlich tut mich erfreuen / Die fröhliche Sommerzeit,Anon,Herzlich tut mich erfreuen / Die fröhliche Sommerzeit,,EB 379,,,,,-1600,,8.7,,,,,,,
"Anon - Horch, was nähert sich",Anon,"Horch, was nähert sich",,,,,,,,,4.42,,,,,,,
"Anon - Hören, ir lieben gesellen, / und losend niuwe mer",Anon,"Hören, ir lieben gesellen, / und losend niuwe mer",,LI 196,,,15. Jh.,,-1600,,7.1,,,,,,,
"Anon - Hört zu, liebe Christen, was Neu's ich andeut",Anon,"Hört zu, liebe Christen, was Neu's ich andeut",,HA 152,,,18. Jh.,,1700-1770,,4.70,,,,,,,
"Anon - Hört, hört, was jüngstens ist geschehen",Anon,"Hört, hört, was jüngstens ist geschehen",,,,,1830,,1770-1830,,8.37,,,,,,,
"Anon - Hört, ihr Herrn, und laßt",Anon,"Hört, ihr Herrn, und laßt",,,,,,,,,4.51,,,,,,,
Anon - Ich armer Boß bin ganz verirrt,Anon,Ich armer Boß bin ganz verirrt,,EB 1657,,,16. Jh.,,-1600,,10.2,,,,,,,
"Anon - Ich armer Mann, was hab ich g'tan",Anon,"Ich armer Mann, was hab ich g'tan",Ambraser Liederbuch (1582),EB 892,,,16. Jh.,,-1600,,8.15,,,,,http://www.zeno.org/nid/20004435842,,
Anon - Ich bin der bayrisch Hiesel,Anon,Ich bin der bayrisch Hiesel,,,,,19. Jh.,,1830-1900,,8.7,,,,,,,
Anon - Ich bin der Doktor Eisenbart,Anon,Ich bin der Doktor Eisenbart,,,,,,,,,4.58,,,,,,,
"Anon - Ich danke dir, Herr Gott, in deinem Throne",Anon,"Ich danke dir, Herr Gott, in deinem Throne",,FT I 219,,,1612,,1600-1700,,6.47,,,,,,,
Anon - Ich freu mich dieser Fasenacht,Anon,Ich freu mich dieser Fasenacht,,EB 1538,,,16. Jh.,,-1600,,10.2,,,,,,,
Anon - Ich ging einmal für mich,Anon,Ich ging einmal für mich,,,,,,,,,4.58,,,,,,,
Anon - Ich ging in Nachbars Garten,Anon,Ich ging in Nachbars Garten,,EB 454b,,,,,,,4.25,,,,,,,
Anon - Ich ging mit Lust durch einen grünen Wald,Anon,Ich ging mit Lust durch einen grünen Wald,Wunderhorn (1805/08),DKW Waldvögelein,,,,,,,5.4,,,,,http://www.zeno.org/nid/20004469151,,
Anon - Ich gläub in Gott Vater Allmächtigen,Anon,Ich gläub in Gott Vater Allmächtigen,,WA V 1273,,,,,,,3.6,,,,,,,
Anon - Ich gung enmal spaziere,Anon,Ich gung enmal spaziere,,EB 533,,,um 1600,,,,2.2,,,,,,,
Anon - Ich hab gewacht ein winterlange Nacht,Anon,Ich hab gewacht ein winterlange Nacht,,EB 100a,,,,,,,4.39,,,,,,,
"Anon - Ich hab zu dir gesagt, mein",Anon,"Ich hab zu dir gesagt, mein Kind, ich liebe dich",,EB 643,,,,,,,4.113,,,,,,,
Anon - Ich habe Lust ins weite Feld,Anon,Ich habe Lust ins weite Feld,,EB 1314,,,1740,,1700-1770,,7.7,,,,,,,
Anon - Ich hätt mich unterwunden,Anon,Ich hätt mich unterwunden,,EB 431,,,16. Jh.,,-1600,,8.7,,,,,,,
Anon - Ich hört ein Fräulein klagen,Anon,Ich hört ein Fräulein klagen,,EB 805,,,Anfang 16. Jh.,,-1600,,7.2,,,,,,,
Anon - Ich hört ein Sich[e]lein rauschen,Anon,Ich hört ein Sich[e]lein rauschen,Wunderhorn (1805/08),EB 678a,,,,,,,4.20,,,,,http://www.zeno.org/nid/20004466535,,
Anon - Ich lebte einst im deutschen Vaterlande,Anon,Ich lebte einst im deutschen Vaterlande,,,,,ab Mitte 19. Jh.,,1830-1900,,4.106,,,,,,,
Anon - Ich lobe mir das Burschenleben,Anon,Ich lobe mir das Burschenleben,,,,,,,1700-1770,,6.39,,,,,,,
Anon - Ich raitt ains tags spaciern,Anon,Ich raitt ains tags spaciern,"Lb. der Clara Hätzlerin (1471),Forster 1549,Wunderhorn (1805/08)",Lb. der Clara Hätzlerin (1471),,,,,-1600,,7.1,,,,,,,
Anon - Ich reit einmal zu Braunschweig aus,Anon,Ich reit einmal zu Braunschweig aus,,,,,,,-1600,,5.6,,,,,,,
Anon - Ich schuß nach einer Taube,Anon,Ich schuß nach einer Taube,,EB 441,,,15./16. Jh.,,-1600,,5.2,,,,,,,
Anon - Ich schwing (schell) mein Horn ins Jammertal (im Jammerton),Anon,Ich schwing (schell) mein Horn ins Jammertal (im Jammerton),Wunderhorn (1805/08),"EB 258,Wunderhorn (1805/08)",,,1510,,-1600,,8.15,,,,,,,
Anon - Ich spring an disem ringe,Anon,Ich spring an disem ringe,,EB 930,,,1460,,-1600,,7.2,,,,,,,
Anon - Ich stund an einem Morgen / Heimlich an einem Ort,Anon,Ich stund an einem Morgen / Heimlich an einem Ort,"Ambraser Liederbuch (1582),Wunderhorn (1805/08)",EB 742,,,,,-1600,,7.3,,,,,http://www.zeno.org/nid/20004436784,,
Anon - Ich verkünd euch neue Märe / Und wollt ihr die verstan: / Zu Rom da saß ein Herre,Anon,Ich verkünd euch neue Märe / Und wollt ihr die verstan: / Zu Rom da saß ein Herre,,EB 29,,,,,-1600,,8.7,,,,,,,
Anon - Ich war der kleinste meiner Brüder,Anon,Ich war der kleinste meiner Brüder,Wunderhorn (1805/08),DKW David,,,,,1770-1830,,6.38,,,,,http://www.zeno.org/nid/20004464346,,
Anon - Ich weiß ein hübsches Häuselein,Anon,Ich weiß ein hübsches Häuselein,,WA II 1150,,,,,,,4.57,,,,,,,
"Anon - Ich weiß ein Maget schone, / Die trägt den höchsten Preis",Anon,"Ich weiß ein Maget schone, / Die trägt den höchsten Preis",,"WA II 1152,EB 2045",,,,,-1600,,7.2,,,,,,,
Anon - Ich weiß mir einen Anger breit,Anon,Ich weiß mir einen Anger breit,,EB 143,,,,,-1600,,5.6,,,,,,,
Anon - Ich weiß mir einen freien Hof,Anon,Ich weiß mir einen freien Hof,,EB 153b,,,,,-1600,,5.6,,,,,,,
Anon - Ich wil trüren varen län,Anon,Ich wil trüren varen län,Carmina Burana,Carmina Burana,,,,,-1600,,6.21,,,,,,,
Anon - Ich wollt gern etwas singen,Anon,Ich wollt gern etwas singen,,WA III 489,,,Reformationszeit,,-1600,,9.1,,,,,,,
"Anon - Ihr Franzosen geht nach Haus, / Weils mit eurer Macht ist aus",Anon,"Ihr Franzosen geht nach Haus, / Weils mit eurer Macht ist aus",,EB 356,,,1793,,1770-1830,,6.22,,,,,,,
Anon - Ihr Gedanken haltet ein,Anon,Ihr Gedanken haltet ein,,EB 682,,,18. Jh.,,1700-1770,,6.22,,,,,,,
Anon - Ihr wisset und ist euch all selbsten bekannt,Anon,Ihr wisset und ist euch all selbsten bekannt,,HA 148,,,1716,,1700-1770,,4.62,,,,,,,
Anon - Ihrer Hochzeit hohes Fest,Anon,Ihrer Hochzeit hohes Fest,Wunderhorn (1805/08),DKW Abschied von Maria,,,,,,,4.42,,,,,http://www.zeno.org/nid/20004464826,,
"Anon - Im grünen Gras, wo einst die",Anon,"Im grünen Gras, wo einst die",,,,,,,,,4.99,,,,,,,
Anon - Im tusent und drühundert / und sechs und achtigsten jar,Anon,Im tusent und drühundert / und sechs und achtigsten jar,,LI 34,,,14. Jh.,,-1600,,7.1,,,,,,,
Anon - Im Wilden Westen oder Der Überfall auf die Pazifikbahn (Angefüllt mit Passagieren),Anon,Im Wilden Westen oder Der Überfall auf die Pazifikbahn (Angefüllt mit Passagieren),,,,,19. Jh.,,1830-1900,,6.27,,,,,,,
Anon - Im Winter ist ein kalte Zeit,Anon,Im Winter ist ein kalte Zeit,,EB 162,,,1530,,-1600,,5.6,,,,,,,
Anon - In der Lüneburger Heide,Anon,In der Lüneburger Heide,,,,,,,,,4.49,,,,,,,
Anon - In diesem grünen Wald,Anon,In diesem grünen Wald,"Musikalischer Zeitvertreiber (1609),Wunderhorn (1805/08)",DKW In diesem grünen Wald,1609,,1609,,1600-1700,,4.17,,,,,http://www.zeno.org/nid/20004469054,,
Anon - In einem See sehr groß und tief,Anon,In einem See sehr groß und tief,Wunderhorn (1805/08),DKW Ritter St. Georg,,,,,,,2.5,,,,,http://www.zeno.org/nid/20004464699,,
Anon - In Frauenstadt ein harter Mann,Anon,In Frauenstadt ein harter Mann,Wunderhorn (1805/08),DKW Die Greuelhochzeit,,,,,1770-1830,,6.19,,,,,http://www.zeno.org/nid/20004464540,,
Anon - In Gottes Namen heb ich an,Anon,In Gottes Namen heb ich an,,WA III 1025,,,um 1540,,-1600,,6.19,,,,,,,
Anon - In Gottes Namen heben wirs an,Anon,In Gottes Namen heben wirs an,,WA II 1215,,,16. Jh.,,-1600,,5.6,,,,,,,
Anon - In Gottes Namen scheiden wir,Anon,In Gottes Namen scheiden wir,,WA III 209,,,um 1544,,-1600,,4.57,,,,,,,
"Anon - In Metz auf dem Bahnhof, da",Anon,"In Metz auf dem Bahnhof, da",,,,,,,,,4.62,,,,,,,
Anon - In unsers Nachbarn Brosius Haus,Anon,In unsers Nachbarn Brosius Haus,,EB 953,,,,,,,4.41,,,,,,,
Anon - In welschem land hebt sich ein struß,Anon,In welschem land hebt sich ein struß,,LI 139,,,,,-1600,,6.19,,,,,,,
"Anon - Innsbruck, ich muß dich lassen, / Ich fahr dahin mein Straßen",Anon,"Innsbruck, ich muß dich lassen, / Ich fahr dahin mein Straßen",,EB 743a,,,verm. 15. Jh.,,-1600,,"6.7,6.9",,,,,,,
"Anon - Ir Herren, wend ihr schweigen",Anon,"Ir Herren, wend ihr schweigen",,,,,1494,,-1600,,9.1,,,,,,,
"Anon - Ist denn dieses wirklich wahr, / was man hat vernommen",Anon,"Ist denn dieses wirklich wahr, / was man hat vernommen",,EB 349a,,,,,,,4.31,,,,,,,
Anon - It daget in dat Osten,Anon,It daget in dat Osten,,EB 94b,,,,,,,4.20,,,,,,,
Anon - It weren negen Landsknechte,Anon,It weren negen Landsknechte,,EB 65a,,,Ende 16. Jh.,,-1600,,5.2,,,,,,,
"Anon - Jesum den Heiland, unsern",Anon,"Jesum den Heiland, unsern Herrn",,WA IV 854,,,1569,,-1600,,5.10,,,,,,,
Anon - Jesus vom Tod erstanden ist,Anon,Jesus vom Tod erstanden ist,,WA II 1211,,,15./16. Jh.,,-1600,,"3.4,3.4aaa",,,,,,,
"Anon - Jesus, du süßer Name",Anon,"Jesus, du süßer Name",,WA II 817,,,15. Jh.,,-1600,,8.10,,,,,,,
"Anon - Jetzt laßt uns mal singen, so hübsch und so fein",Anon,"Jetzt laßt uns mal singen, so hübsch und so fein",,EB 1077,,,,,,,4.39,,,,,,,
Anon - Jetzt wird der Beschluß,Anon,Jetzt wird der Beschluß,,EB 772,,,,,,,4.42,,,,,,,
Anon - Jetzund fällt die Nacht herein (Botschaft durch die Nachtigall),Anon,Jetzund fällt die Nacht herein (Botschaft durch die Nachtigall),,EB 562b,,,,,,,4.42,,,,,,,
Anon - Jubileus ist uns verkündt,Anon,Jubileus ist uns verkündt,,"EB 237,LI 90",,,1450,,-1600,,6.19,,,,,,,
Anon - Juchheisa nach Amerika,Anon,Juchheisa nach Amerika,,,,,,,,,4.34,,,,,,,
"Anon - Juncfrouwe, aller cristen",Anon,"Juncfrouwe, aller cristen",,,,,,,,,"3.4,3.4aaa",,,,,,,
"Anon - Kein Feuer, keine Kohle / Kann brennen so heiß",Anon,"Kein Feuer, keine Kohle / Kann brennen so heiß",,EB 507,,,,,,,4.5,,,,,,,
Anon - Keine Rose ohne Dornen,Anon,Keine Rose ohne Dornen,,EB 680,,,18. Jh.,,1700-1770,,8.27,,,,,,,
Anon - Komm ich einst aus fremden Landen,Anon,Komm ich einst aus fremden Landen,,EB 788a,,,,,,,4.51,,,,,,,
"Anon - Komm zu mir in' Garten, / Komm zu mir ins Gras",Anon,"Komm zu mir in' Garten, / Komm zu mir ins Gras",,EB 530a,,,,,,,4.5,,,,,,,
"Anon - Komt al, ik wil u zingen / von Vlaendren goeden helde",Anon,"Komt al, ik wil u zingen / von Vlaendren goeden helde",,LI 5b,,,,,,,4.24,,,,,,,
"Anon - Komt, hoort die droeve maere, / ik zing van grooter noode",Anon,"Komt, hoort die droeve maere, / ik zing van grooter noode",,LI 28b,,,,,,,4.24,,,,,,,
Anon - Könnt ich von Herzen singen / Ein hübsche Tageweis,Anon,Könnt ich von Herzen singen / Ein hübsche Tageweis,,EB 87,,,15. Jh.,,-1600,,7.3,,,,,,,
"Anon - Kume, kume, geselle min",Anon,"Kume, kume, geselle min",,,,,,,,,4.42,,,,,,,
Anon - Laßt uns Jesum Christum unsern Heiland,Anon,Laßt uns Jesum Christum unsern Heiland,,WA V 1246,,,,,,,3.6,,,,,,,
"Anon - Laßt, Leute, euch berichten",Anon,"Laßt, Leute, euch berichten",,,ca. 1850,,19. Jh.,,1830-1900,,8.7,,,,,,vgl. https://www.deutscheslied.com/en/search.cgi?cmd=search&srch_Titel=la%DFt+leute+euch+berichten&srch_Melodie=&srch_Text=&srch_Tonsatz=&srch_Quelle=&Herausgeber=&Zeitalter=&MelodyYear=&TextYear=,
Anon - Laute Hornsignale tönen,Anon,Laute Hornsignale tönen,,,,,nach 1881,,1830-1900,,8.26,,,,,,,
"Anon - Leute, tretet rings heran",Anon,"Leute, tretet rings heran",,,,,1844,,1830-1900,,4.42,,,,,,,
